Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN111
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN112
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN113
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
2016,Level 4,MN114
